mapper,seed,mae,rmse,mape,ckpt_dir,log_file,status,cmd,cfg_path
kan,1,18.1169,29.5294,0.1262,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed1,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed1/b0f0bb54cdb5cf072c1b2255798532e9/training_log_20260602222751.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed1.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed1.py
kan,2,18.0805,29.5591,0.1253,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed2,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed2/d7f7f9d42d88ca3512c5df1fe620d5aa/training_log_20260602224801.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed2.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed2.py
kan,3,18.0886,29.5302,0.1258,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed3,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed3/58b3e542d4cc19dc59ecf057dc8e6162/training_log_20260602230721.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed3.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed3.py
kan,4,18.0954,29.5607,0.1259,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed4,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed4/2db2f85d6ff08916b8891d8b5af9c21b/training_log_20260602232656.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed4.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed4.py
kan,5,18.1029,29.6354,0.1243,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed5,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_kan_seed5/cc1766e02bfe4bb811aa30de6fd41786/training_log_20260602234640.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed5.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_kan_seed5.py
mlp,1,18.0224,29.431,0.1251,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed1,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed1/5e969ebfb0c1a1ad39c275cfea019f12/training_log_20260602222751.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed1.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed1.py
mlp,2,18.0531,29.4749,0.1263,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed2,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed2/bc76fc38ca928ebd9c3909b8f17e82e3/training_log_20260602224750.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed2.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed2.py
mlp,3,18.0565,29.5245,0.126,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed3,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed3/59cf631069977a7bf285c142dc13aa86/training_log_20260602230802.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed3.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed3.py
mlp,4,18.1354,29.595,0.1263,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed4,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed4/48ea4b283e6b12cb8a3bd9d9d4069d85/training_log_20260602232838.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed4.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed4.py
mlp,5,18.0801,29.5803,0.1249,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed5,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_prior_mlp_seed5/8e88170fcdd7c071378198308b422d1d/training_log_20260602234815.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed5.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/prior_mapper_ablation/KASAST_PEMS04_mlp_seed5.py
