experiment,dataset,tag,mae,rmse,mape,source_file,source_line,status
KASA_v2_100_pems04_claim_no_lookup,PeMS04,claim_no_lookup,18.1821,29.9294,0.1237,checkpoints/KASA_v2_100_pems04_claim_no_lookup/434d5888754b43896aaf92b80cc33eef/training_log_20260602110154.log,1810,ok
KASA_v2_100_pems04_prior_gate0_kan,PeMS04,prior_gate0_kan,18.1941,29.7142,0.1257,checkpoints/KASA_v2_100_pems04_prior_gate0_kan/82677f3129ba15eb78f7effd8368bc54/training_log_20260601162125.log,1607,ok
KASA_v2_100_pems04_forc_diffstrong_kan,PeMS04,forc_diffstrong_kan,18.2104,29.7798,0.1277,checkpoints/KASA_v2_100_pems04_forc_diffstrong_kan/c818e19890d017cd37b83d0e96526479/training_log_20260601214652.log,1946,ok
KASA_v2_100_pems04_prior_gate1_kan,PeMS04,prior_gate1_kan,18.2273,29.8089,0.1267,checkpoints/KASA_v2_100_pems04_prior_gate1_kan/60679e8427ebb453e1d13ec21f9d6e56/training_log_20260601164348.log,1942,ok
KASA_v2_100_pems04_forc_diffweak_kan,PeMS04,forc_diffweak_kan,18.2391,29.8559,0.1272,checkpoints/KASA_v2_100_pems04_forc_diffweak_kan/cce0bd6ef4c031edcc7d68b1f98d71d5/training_log_20260601220754.log,1945,ok
KASA_v2_100_pems04_minimal_forc,PeMS04,minimal_forc,18.2393,29.7152,0.1255,checkpoints/KASA_v2_100_pems04_minimal_forc/b45ec306726a0fd21d2474ec27ed9f9e/training_log_20260602014229.log,1816,ok
KASA_v2_100_sanity_pems04,PeMS04,,18.2484,29.8397,0.1276,checkpoints/KASA_v2_100_sanity_pems04/f298ce5fb62175fbb937bf0ff0034c59/training_log_20260601131832.log,1947,ok
KASA_v2_100_pems04_legacy_like,PeMS04,legacy_like,18.2558,29.7769,0.1275,checkpoints/KASA_v2_100_pems04_legacy_like/a4d9ff002ea9eff1c8ca095ce75bc258/training_log_20260601160007.log,1947,ok
KASA_v2_100_pems04_forc_default_kan,PeMS04,forc_default_kan,18.2628,29.8193,0.1271,checkpoints/KASA_v2_100_pems04_forc_default_kan/ded31f8257b699a33810902517e78d33/training_log_20260601212617.log,1599,ok
KASA_v2_100_pems04_forc_default_linear,PeMS04,forc_default_linear,18.2938,29.8696,0.1263,checkpoints/KASA_v2_100_pems04_forc_default_linear/5688383d26ac52289b12531c9e0aa366/training_log_20260601202556.log,1930,ok
KASA_v2_100_pems04_forc_diffstrong_linear,PeMS04,forc_diffstrong_linear,18.2984,29.8911,0.1264,checkpoints/KASA_v2_100_pems04_forc_diffstrong_linear/206cfbd26201bda94f0dc10397bf8780/training_log_20260601204656.log,1930,ok
KASA_v2_100_pems04_prior_gate0_mlp,PeMS04,prior_gate0_mlp,18.3165,29.9011,0.1273,checkpoints/KASA_v2_100_pems04_prior_gate0_mlp/6af2c9b11c64d19524d382cd2dfe2724/training_log_20260601200441.log,1754,ok
KASA_v2_100_pems04_prior_gate0_linear,PeMS04,prior_gate0_linear,18.3328,29.9057,0.1263,checkpoints/KASA_v2_100_pems04_prior_gate0_linear/a0df70c64520551d140e03bc0b0b7414/training_log_20260601194403.log,1931,ok
KASA_v2_100_pems04_claim_alignment,PeMS04,claim_alignment,21.1487,36.0588,0.1374,checkpoints/KASA_v2_100_pems04_claim_alignment/a420689b4e5ee790e1b0554e5efbbead/training_log_20260602103419.log,1765,ok
