variant,mapper,seed,mae,rmse,mape,ckpt_dir,log_file,status,cmd,cfg_path
v3_base_mapper_plus_prior_kan,kan,1,24.2326,38.0804,0.1684,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed1,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed1/f51606476296a7b79d5a1f714c55ad99/training_log_20260603005734.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed1.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed1.py
v3_base_mapper_plus_prior_kan,kan,2,26.5947,42.7825,0.1894,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed2,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed2/fa69dc7bb62ffed287daabbd6ce217bc/training_log_20260603011648.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed2.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed2.py
v3_base_mapper_plus_prior_kan,kan,3,19.5732,31.4739,0.1412,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed3,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed3/e72b0bfdf2711798768c86ff93d0eceb/training_log_20260603013713.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed3.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed3.py
v3_base_mapper_plus_prior_kan,kan,4,19.526,31.6695,0.1401,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed4,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed4/e8933f7750d7f87c085bb283f9c53551/training_log_20260603015750.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed4.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed4.py
v3_base_mapper_plus_prior_kan,kan,5,19.5716,31.5865,0.1389,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed5,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_kan_seed5/2b85aab6a4c0ff68e3fb326f18d6bbea/training_log_20260603021817.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed5.py --gpus 0,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_kan_seed5.py
v3_base_mapper_plus_prior_mlp,mlp,1,19.2458,31.067,0.1379,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed1,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed1/e5095abde55a5a53185219af87b452c5/training_log_20260603005734.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed1.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed1.py
v3_base_mapper_plus_prior_mlp,mlp,2,19.268,31.1269,0.1373,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed2,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed2/9be80e6051d36bdee71423ce40207d2e/training_log_20260603011746.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed2.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed2.py
v3_base_mapper_plus_prior_mlp,mlp,3,19.2088,31.0323,0.138,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed3,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed3/5f5e5a040a681e301906edcc1e11c335/training_log_20260603013654.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed3.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed3.py
v3_base_mapper_plus_prior_mlp,mlp,4,19.0667,30.8234,0.1341,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed4,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed4/d56a7df7f9094107e8a0a08228815055/training_log_20260603015652.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed4.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed4.py
v3_base_mapper_plus_prior_mlp,mlp,5,19.1851,31.0058,0.1366,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed5,/home/dhz/KASA-ST/checkpoints/KASA_v2_100_v3_base_mapper_plus_prior_mlp_seed5/429a31a7258123b777481bb5ebdb9dcb/training_log_20260603021607.log,ok,/home/dhz/miniconda3/envs/basicts/bin/python examples/run.py --cfg tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed5.py --gpus 1,/home/dhz/KASA-ST/tmp_configs/v3_base_mapper_plus_prior/KASAST_PEMS04_mlp_seed5.py
